"FUENTE"|"FECHA"|"PI_NCF"|"PI_NOMBRE"|"PI_RNC"|"PI_TOTAL"|"PI_EXONERACION"|"PI_PCT_LEY"|"PI_IVA"|"MONTO"
"PATEPALO"|20180303|"-"|"-"|"-"|7111.04|" -   "|555.55|999.99|5555.50
"PATEPALO"|20180303|"-"|"-"|"-"|11412.39|" -   "|891.59|1604.87|8915.93
"PATEPALO"|20180303|"-"|"-"|"-"|156028.11|" -   "|12189.70|21941.45|121896.96
"PATEPALO"|20180303|"-"|"-"|"-"|250.00|" -   "|19.53|35.16|195.31
"PATEPALO"|20180303|"-"|"-"|"-"|1063.19|" -   "|83.06|149.51|830.62
"PATEPALO"|20180303|"-"|"-"|"-"|9062.40|" -   "|708.00|1274.40|7080.00
"PATEPALO"|20180303|"-"|"-"|"-"|231360.00|" -   "|18075.00|32535.00|180750.00
"PATEPALO"|20180303|"-"|"-"|"-"|7271.17|" -   "|568.06|1022.51|5680.60
"PATEPALO"|20180303|"-"|"-"|"-"|1529.60|" -   "|119.50|215.10|1195.00
"PATEPALO"|20180303|"-"|"-"|"-"|2272.00|" -   "|177.50|319.50|1775.00
"PATEPALO"|20180303|"-"|"-"|"-"|499.99|" -   "|39.06|70.31|390.62
"PATEPALO"|20180303|"-"|"-"|"-"|6592.00|" -   "|515.00|927.00|5150.00
"PATEPALO"|20180303|"-"|"-"|"-"|8998.40|" -   "|703.00|1265.40|7030.00
"PATEPALO"|20180303|"-"|"-"|"-"|7289.60|" -   "|569.50|1025.10|5695.00
"PATEPALO"|20180303|"-"|"-"|"-"|633.60|" -   "|49.50|89.10|495.00
"PATEPALO"|20180303|"-"|"-"|"-"|8070.40|" -   "|630.50|1134.90|6305.00
"PATEPALO"|20180303|"-"|"-"|"-"|6316.80|" -   "|493.50|888.30|4935.00
"PATEPALO"|20180303|"-"|"-"|"-"|768.00|" -   "|60.00|108.00|600.00
"PATEPALO"|20180303|"-"|"-"|"-"|6572.80|" -   "|513.50|924.30|5135.00
"PATEPALO"|20180303|"-"|"-"|"-"|3859.20|" -   "|301.50|542.70|3015.00
"PATEPALO"|20180303|"-"|"-"|"-"|806.80|" -   "|63.03|113.46|630.31
"PATEPALO"|20180303|"-"|"-"|"-"|3008.00|" -   "|235.00|423.00|2350.00
"PATEPALO"|20180303|"-"|"-"|"-"|1600.00|" -   "|125.00|225.00|1250.00
"PATEPALO"|20180303|"-"|"-"|"-"|2464.40|" -   "|192.53|346.56|1925.31
"PATEPALO"|20180303|"-"|"-"|"-"|448.00|" -   "|35.00|63.00|350.00
"PATEPALO"|20180303|"-"|"-"|"-"|678.40|" -   "|53.00|95.40|530.00
"PATEPALO"|20180303|"-"|"-"|"-"|1116.80|" -   "|87.25|157.05|872.50
"PATEPALO"|20180303|"-"|"-"|"-"|12750.38|" -   "|996.12|1793.02|9961.24
"PATEPALO"|20180303|"-"|"-"|"-"|1676.80|" -   "|131.00|235.80|1310.00
"PATEPALO"|20180303|"-"|"-"|"-"|6348.80|" -   "|496.00|892.80|4960.00
"PATEPALO"|20180303|"-"|"-"|"-"|1286.40|" -   "|100.50|180.90|1005.00
"PATEPALO"|20180303|"-"|"-"|"-"|2464.79|" -   "|192.56|346.61|1925.62
"PATEPALO"|20180303|"-"|"-"|"-"|10329.60|" -   "|807.00|1452.60|8070.00
"PATEPALO"|20180303|"-"|"-"|"-"|1913.60|" -   "|149.50|269.10|1495.00
"PATEPALO"|20180303|"-"|"-"|"-"|1849.60|" -   "|144.50|260.10|1445.00
"PATEPALO"|20180303|"-"|"-"|"-"|10694.40|" -   "|835.50|1503.90|8355.00
"PATEPALO"|20180303|"-"|"-"|"-"|3084.80|" -   "|241.00|433.80|2410.00
"PATEPALO"|20180303|"-"|"-"|"-"|17530.00|" -   "|1369.53|2465.16|13695.31
"PATEPALO"|20180303|"-"|"-"|"-"|11372.80|" -   "|888.50|1599.30|8885.00
"PATEPALO"|20180303|"-"|"-"|"-"|7020.93|" -   "|548.51|987.32|5485.10
"PATEPALO"|20180303|"-"|"-"|"-"|3271.59|" -   "|255.59|460.07|2555.93
"PATEPALO"|20180303|"-"|"-"|"-"|11393.19|" -   "|890.09|1602.17|8900.93
"PATEPALO"|20180303|"-"|"-"|"-"|838.40|" -   "|65.50|117.90|655.00
"PATEPALO"|20180303|"-"|"-"|"-"|1350.40|" -   "|105.50|189.90|1055.00
"PATEPALO"|20180303|"-"|"-"|"-"|2387.20|" -   "|186.50|335.70|1865.00
"PATEPALO"|20180303|"-"|"-"|"-"|1632.00|" -   "|127.50|229.50|1275.00
"PATEPALO"|20180303|"-"|"-"|"-"|7974.40|" -   "|623.00|1121.40|6230.00
"PATEPALO"|20180303|"-"|"-"|"-"|4090.39|" -   "|319.56|575.21|3195.62
"PATEPALO"|20180303|"-"|"-"|"-"|3521.99|" -   "|275.16|495.28|2751.55
"PATEPALO"|20180303|"-"|"-"|"-"|749.99|" -   "|58.59|105.47|585.93
"PATEPALO"|20180303|"-"|"-"|"-"|1120.79|" -   "|87.56|157.61|875.62
"PATEPALO"|20180303|"-"|"-"|"-"|1338.79|" -   "|104.59|188.27|1045.93
"PATEPALO"|20180303|"-"|"-"|"-"|499.99|" -   "|39.06|70.31|390.62
"PATEPALO"|20180303|"-"|"-"|"-"|2150.40|" -   "|168.00|302.40|1680.00
"PATEPALO"|20180303|"-"|"-"|"-"|550.80|" -   "|43.03|77.46|430.31
"PATEPALO"|20180303|"-"|"-"|"-"|3079.83|" -   "|240.61|433.10|2406.12
"PATEPALO"|20180303|"-"|"-"|"-"|3526.40|" -   "|275.50|495.90|2755.00
"PATEPALO"|20180303|"-"|"-"|"-"|3366.40|" -   "|263.00|473.40|2630.00
"PATEPALO"|20180303|"-"|"-"|"-"|377.60|" -   "|29.50|53.10|295.00
"PATEPALO"|20180303|"-"|"-"|"-"|250.00|" -   "|19.53|35.16|195.31
"PATEPALO"|20180303|"-"|"-"|"-"|3059.20|" -   "|239.00|430.20|2390.00
"PATEPALO"|20180303|"-"|"-"|"-"|3372.80|" -   "|263.50|474.30|2635.00
"PATEPALO"|20180303|"-"|"-"|"-"|6163.60|" -   "|481.53|866.76|4815.31
"PATEPALO"|20180303|"-"|"-"|"-"|2240.00|" -   "|175.00|315.00|1750.00
"PATEPALO"|20180303|"-"|"-"|"-"|6426.39|" -   "|502.06|903.71|5020.62
"PATEPALO"|20180303|"-"|"-"|"-"|5670.40|" -   "|443.00|797.40|4430.00
"PATEPALO"|20180303|"-"|"-"|"-"|2931.20|" -   "|229.00|412.20|2290.00
"PATEPALO"|20180303|"-"|"-"|"-"|5211.03|" -   "|407.11|732.80|4071.12
"PATEPALO"|20180303|"-"|"-"|"-"|2087.32|" -   "|163.07|293.53|1630.72
"PATEPALO"|20180303|"-"|"-"|"-"|8090.18|" -   "|632.05|1137.68|6320.45
"PATEPALO"|20180303|"-"|"-"|"-"|3214.17|" -   "|251.11|451.99|2511.07
"PATEPALO"|20180303|"-"|"-"|"-"|3462.53|" -   "|270.51|486.92|2705.10
"PATEPALO"|20180303|"-"|"-"|"-"|1964.80|" -   "|153.50|276.30|1535.00
"PATEPALO"|20180303|"-"|"-"|"-"|9277.13|" -   "|724.78|1304.60|7247.75
"PATEPALO"|20180303|"-"|"-"|"-"|11993.60|" -   "|937.00|1686.60|9370.00
"PATEPALO"|20180303|"-"|"-"|"-"|6055.19|" -   "|473.06|851.51|4730.62
"PATEPALO"|20180303|"-"|"-"|"-"|5625.60|" -   "|439.50|791.10|4395.00
"PATEPALO"|20180303|"-"|"-"|"-"|3622.40|" -   "|283.00|509.40|2830.00
"PATEPALO"|20180303|"-"|"-"|"-"|748.80|" -   "|58.50|105.30|585.00
"PATEPALO"|20180303|"-"|"-"|"-"|5542.98|" -   "|433.05|779.48|4330.45
"PATEPALO"|20180303|"-"|"-"|"-"|14259.20|" -   "|1114.00|2005.20|11140.00
"PATEPALO"|20180303|"-"|"-"|"-"|5360.48|" -   "|418.79|753.82|4187.87
"PATEPALO"|20180303|"-"|"-"|"-"|8717.20|" -   "|681.03|1225.86|6810.31
"PATEPALO"|20180303|"-"|"-"|"-"|13715.20|" -   "|1071.50|1928.70|10715.00
"PATEPALO"|20180303|"-"|"-"|"-"|1907.20|" -   "|149.00|268.20|1490.00
"PATEPALO"|20180303|"-"|"-"|"-"|6265.60|" -   "|489.50|881.10|4895.00
"PATEPALO"|20180303|"-"|"-"|"-"|4723.20|" -   "|369.00|664.20|3690.00
"PATEPALO"|20180303|"-"|"-"|"-"|921.60|" -   "|72.00|129.60|720.00
"PATEPALO"|20180303|"-"|"-"|"-"|3905.58|" -   "|305.12|549.22|3051.24
"PATEPALO"|20180303|"-"|"-"|"-"|3270.40|" -   "|255.50|459.90|2555.00
"PATEPALO"|20180303|"-"|"-"|"-"|3277.72|" -   "|256.07|460.93|2560.72
"PATEPALO"|20180303|"-"|"-"|"-"|2144.00|" -   "|167.50|301.50|1675.00
"PATEPALO"|20180303|"-"|"-"|"-"|9062.53|" -   "|708.01|1274.42|7080.10
"PATEPALO"|20180303|"-"|"-"|"-"|2145.15|" -   "|167.59|301.66|1675.90
"PATEPALO"|20180303|"-"|"-"|"-"|5139.20|" -   "|401.50|722.70|4015.00
"PATEPALO"|20180303|"-"|"-"|"-"|7258.79|" -   "|567.09|1020.77|5670.93
